x_over_lambda,eta22_exact_norm,eta22_vwa_norm,eta22_walker_norm
-4.19885819060716,-4.6667971663288e-06,-4.52474584292688e-06,-3.3582258608888e-06
-4.1977469405898,-4.72671573856016e-06,-4.58461274575473e-06,-3.41221544955604e-06
-4.19663569057243,-4.78628833503813e-06,-4.64416948403964e-06,-3.46607595239104e-06
-4.19552444055507,-4.84550671817905e-06,-4.70340797912552e-06,-3.51980094937875e-06
-4.19441319053771,-4.90436264266974e-06,-4.7623201315195e-06,-3.57338397954502e-06
-4.19330194052034,-4.96284785621278e-06,-4.82089782171108e-06,-3.62681854136287e-06
-4.19219069050298,-5.02095410043684e-06,-4.87913291085548e-06,-3.68009809316495e-06
-4.19107944048562,-5.0786731119679e-06,-4.93701724156192e-06,-3.73321605357694e-06
-4.18996819046825,-5.13599662304008e-06,-4.99454263900054e-06,-3.78616580195854e-06
-4.18885694045089,-5.19291636245471e-06,-5.05170091138099e-06,-3.8389406788566e-06
-4.18774569043353,-5.24942405702046e-06,-5.10848385067113e-06,-3.8915339864757e-06
-4.18663444041616,-5.30551143152405e-06,-5.16488323413947e-06,-3.94393898915812e-06
-4.1855231903988,-5.36117021050441e-06,-5.22089082441281e-06,-3.99614891388102e-06
-4.18441194038144,-5.41639211864541e-06,-5.27649837076942e-06,-4.04815695076289e-06
-4.18330069036407,-5.47116888213044e-06,-5.33169760988199e-06,-4.0999562535797e-06
-4.18218944034671,-5.5254922291478e-06,-5.38648026697644e-06,-4.15153994031069e-06
-4.18107819032935,-5.57935389084012e-06,-5.44083805637925e-06,-4.20290109367677e-06
-4.17996694031198,-5.63274560295098e-06,-5.49476268264131e-06,-4.25403276170592e-06
-4.17885569029462,-5.68565910593739e-06,-5.54824584132037e-06,-4.30492795830672e-06
-4.17774444027726,-5.73808614628681e-06,-5.60127922035039e-06,-4.3555796638612e-06
-4.17663319025989,-5.790018477381e-06,-5.65385450031311e-06,-4.40598082581841e-06
-4.17552194024253,-5.84144786067429e-06,-5.70596335600502e-06,-4.45612435932083e-06
-4.17441069022517,-5.89236606644846e-06,-5.75759745724535e-06,-4.50600314782605e-06
-4.1732994402078,-5.94276487478808e-06,-5.8087484695559e-06,-4.55561004375508e-06
-4.17218819019044,-5.99263607670758e-06,-5.85940805581438e-06,-4.60493786914418e-06
-4.17107694017308,-6.04197147470755e-06,-5.90956787652836e-06,-4.6539794163241e-06
-4.16996569015571,-6.09076288453938e-06,-5.95921959155085e-06,-4.70272744859563e-06
-4.16885444013835,-6.13900213544996e-06,-6.00835486063912e-06,-4.75117470093397e-06
-4.16774319012099,-6.18668107175809e-06,-6.05696534469786e-06,-4.79931388070058e-06
