k,G_diag_exact,G_diag_vwa,G_exact_kn_0p5kp,G_vwa_kn_0p5kp,G_exact_kn_1p0kp,G_vwa_kn_1p0kp,G_exact_kn_1p5kp,G_vwa_kn_1p5kp
0.350251256281407,0.0123731042535857,0.0123731042535857,0.0136210395321796,0.0135458837558198,0.0207163045525422,0.0201416195066078,0.0282008035020624,0.0271116033348922
0.361809045226131,0.0124619032292284,0.0124619032292284,0.0136510318435022,0.0135902832436412,0.0206905800603532,0.0201860189944292,0.02811769227308,0.0271560028227136
0.373366834170854,0.0125721540340229,0.0125721540340229,0.013693804907806,0.0136454086460384,0.0206838371392742,0.0202411443968265,0.0280600780145357,0.0272111282251108
0.384924623115578,0.0127016911349866,0.0127016911349866,0.0137480823190731,0.0137101771965202,0.0206940599430499,0.0203059129473083,0.028025178575395,0.0272758967755927
0.396482412060301,0.0128486169473273,0.0128486169473273,0.0138127285659623,0.0137836401026906,0.0207194665323769,0.0203793758534787,0.0280105418550398,0.027349359681763
0.408040201005025,0.0130112590265859,0.0130112590265859,0.0138867306765883,0.0138649611423199,0.0207584776545872,0.020460696893108,0.0280140012141998,0.0274306807213923
0.419597989949749,0.0131881355659003,0.0131881355659003,0.013969182771892,0.0139533994119771,0.020809690465075,0.0205491351627652,0.0280336379563341,0.0275191189910495
0.431155778894472,0.0133779273970394,0.0133779273970394,0.0140592729823452,0.0140482953275467,0.0208718562730784,0.0206440310783347,0.0280677495706257,0.0276140149066191
0.442713567839196,0.0135794551143701,0.0135794551143701,0.0141562722980012,0.014149059186212,0.0209438615872885,0.0207447949370001,0.0281148227023045,0.0277147787652844
0.45427135678392,0.0137916602564097,0.0137916602564097,0.0142595250105588,0.0142551617572318,0.0210247118850884,0.0208508975080199,0.0281735100271875,0.0278208813363042
0.465829145728643,0.0140135897181789,0.0140135897181789,0.0143684404747569,0.0143661264881164,0.0211135176441153,0.0209618622389045,0.0282426103709276,0.0279318460671888
0.477386934673367,0.0142443827492871,0.0142443827492871,0.0144824859699387,0.0144815230036705,0.0212094822644413,0.0210772587544586,0.0283210515410873,0.0280472425827429
0.48894472361809,0.0144832600320139,0.0144832600320139,0.0146011804845893,0.0146009616450339,0.0213118915800002,0.0211966973958219,0.0284078754403658,0.0281666812241063
0.500502512562814,0.0147295144411278,0.0147295144411278,0.0147240892797678,0.0147240888495909,0.0214201047134245,0.0213198246003789,0.0285022251084893,0.0282898084286633
0.512060301507538,0.0149825031705449,0.0149825031705449,0.0148508191136145,0.0148505832142994,0.0215335460725845,0.0214463189650874,0.0286033334032225,0.0284163027933718
0.523618090452261,0.0152416409768913,0.0152416409768913,0.0149810140300579,0.0149801521174726,0.0216516983223749,0.0215758878682607,0.0287105130812908,0.028545871696545
0.535175879396985,0.0155063943408906,0.0155063943408906,0.0151143516316313,0.0151125287994722,0.0217740961936102,0.0217082645502603,0.0288231480804755,0.0286782483785447
